gut_status,diet_state,dose_level,duration_days,n_scenarios,mean_final_risk,sd_final_risk,median_final_risk,max_final_risk,severe_rate,high_or_severe_rate,mean_risk_class
normal,normal,low,30,675,0.29076006665369175,0.030153510956382475,0.2919865524097042,0.3594933743161584,0.0,0.0,moderate
normal,normal,low,90,675,0.29572729843620665,0.030346207649100385,0.296971883830781,0.3648546960798298,0.0,0.0,moderate
normal,normal,low,180,675,0.29967383176498863,0.03058641923160287,0.3008225742773365,0.3693479238516486,0.0,0.0,moderate
normal,normal,low,365,675,0.3050974445415606,0.03107266582423267,0.3059410413484418,0.3758883182400026,0.0,0.0,moderate
normal,normal,medium,30,675,0.3263457950726731,0.03457663486018882,0.3270363792720309,0.4049700134156648,0.0,0.0,moderate
normal,normal,medium,90,675,0.33502777158389,0.03539610092643677,0.3354308777249301,0.4155342140699997,0.0,0.0,moderate
normal,normal,medium,180,675,0.3443431272969523,0.036580002626976915,0.3448558396031898,0.4275458929716288,0.0,0.0,moderate
normal,normal,medium,365,675,0.36078010388043674,0.03901833231784827,0.3615398511180244,0.4495215625409612,0.0,0.0,moderate
normal,normal,high,30,675,0.3710855796135859,0.04001162755004675,0.3721574926712764,0.461932209425243,0.0,0.0,moderate
normal,normal,high,90,675,0.38435681381005493,0.04165375605145653,0.3852091256542935,0.4789536841755806,0.0,0.0,moderate
normal,normal,high,180,675,0.40035155164689024,0.044030736995877534,0.4011165901636346,0.5003095471866281,0.0,0.0014814814814814814,moderate
normal,normal,high,365,675,0.4304945889528644,0.04893408942194832,0.431384812911315,0.5414702287248201,0.0,0.08592592592592592,moderate
normal,high-fat,low,30,675,0.30146288374517266,0.030417875831283952,0.3025352982064112,0.3705030478310738,0.0,0.0,moderate
normal,high-fat,low,90,675,0.3064817699153238,0.030598949650519677,0.3074491206811311,0.3759122701368372,0.0,0.0,moderate
normal,high-fat,low,180,675,0.3104955679060728,0.030841638674279543,0.3113661519406682,0.3804854712435785,0.0,0.0,moderate
normal,high-fat,low,365,675,0.31605605416017224,0.03134106401011289,0.3169958445407051,0.3871949902088108,0.0,0.0,moderate
normal,high-fat,medium,30,675,0.3386178958199273,0.03498782640678728,0.3392761074495165,0.4178922404809388,0.0,0.0,moderate
normal,high-fat,medium,90,675,0.3475103761013298,0.035833659630337446,0.3484179737972525,0.4287213652053916,0.0,0.0,moderate
normal,high-fat,medium,180,675,0.3571500470422191,0.0370641577478152,0.358012158999928,0.4411438394127032,0.0,0.0,moderate
normal,high-fat,medium,365,675,0.37425691161354097,0.039603656008635586,0.3753320801424697,0.463970079442033,0.0,0.0,moderate
normal,high-fat,high,30,675,0.38522823566484216,0.040684530807287025,0.3860953549802618,0.4771974615982743,0.0,0.0,moderate
normal,high-fat,high,90,675,0.3989141344358641,0.04239185364457525,0.3998921627940717,0.4947486862565814,0.0,0.0,moderate
normal,high-fat,high,180,675,0.4155468528771705,0.044870719324853536,0.4164679632382643,0.5169174842308968,0.0,0.016296296296296295,moderate
normal,high-fat,high,365,675,0.44700744098844425,0.04998733830798274,0.4483770850320882,0.5597567149715312,0.0,0.1688888888888889,moderate
inflamed,normal,low,30,675,0.3764482710469311,0.03025992730126302,0.3780458232168623,0.4440506058366761,0.0,0.0,moderate
inflamed,normal,low,90,675,0.3827098422598739,0.03055497957049857,0.3844106192207872,0.4510035794570178,0.0,0.0,moderate
inflamed,normal,low,180,675,0.3884222498511075,0.030975355438519724,0.3902527181710474,0.4576798584836284,0.0,0.0,moderate
inflamed,normal,low,365,675,0.3974555663098175,0.03184217588336779,0.3991369937673538,0.4686970088708447,0.0,0.0,moderate
inflamed,normal,medium,30,675,0.444167936930459,0.03791739708600258,0.4454228760062919,0.5289468226730871,0.0,0.06814814814814815,moderate
inflamed,normal,medium,90,675,0.45958052248893816,0.03957057313486598,0.4606509220903099,0.5482358541772779,0.0,0.17629629629629628,moderate
inflamed,normal,medium,180,675,0.4776308307167121,0.04169789993368954,0.4785488740047567,0.5710867646237553,0.0,0.31407407407407406,moderate
inflamed,normal,medium,365,675,0.511995519050803,0.046085529300088926,0.513365304642141,0.6153250387481815,0.0,0.605925925925926,high
inflamed,normal,high,30,675,0.5289845955640857,0.047533519156490366,0.5304311049256778,0.6350767958579949,0.0,0.717037037037037,high
inflamed,normal,high,90,675,0.5557428190021786,0.05087666952919498,0.5570908366026791,0.6696379110742677,0.0,0.8488888888888889,high
inflamed,normal,high,180,675,0.5891235225325656,0.05513690629712977,0.589977859595732,0.7125593456612963,0.0,0.9377777777777778,high
inflamed,normal,high,365,675,0.6549653262865378,0.06391756451949519,0.6565501064891389,0.7980220582189355,0.06962962962962962,0.9955555555555555,high
inflamed,high-fat,low,30,675,0.3895808808938383,0.030358100734456755,0.3913619463377029,0.4573162623885143,0.0,0.0,moderate
inflamed,high-fat,low,90,675,0.3959198787827149,0.030662091416079822,0.3975929290923476,0.4643626916451905,0.0,0.0,moderate
inflamed,high-fat,low,180,675,0.40175826124451214,0.031096000318388106,0.4034659757126335,0.4711892474685003,0.0,0.0,moderate
inflamed,high-fat,low,365,675,0.4110564997961966,0.031990312753713376,0.4128386246072791,0.4825202608498794,0.0,0.0,moderate
inflamed,high-fat,medium,30,675,0.46042244626815265,0.03832874910720883,0.4616266142636774,0.5458711214432225,0.0,0.1748148148148148,moderate
inflamed,high-fat,medium,90,675,0.4762558513423737,0.04002933537426862,0.4773870118613996,0.56566224172269,0.0,0.28296296296296297,moderate
inflamed,high-fat,medium,180,675,0.4949475963686036,0.042227190780953425,0.496101786937288,0.5892719539258703,0.0,0.46814814814814815,moderate
inflamed,high-fat,medium,365,675,0.5306389508286723,0.04676061941596849,0.5314367167544533,0.635077189178772,0.0,0.7333333333333333,high
inflamed,high-fat,high,30,675,0.5490669254820246,0.048355311444242474,0.5498089459322864,0.6564979571253504,0.0,0.837037037037037,high
inflamed,high-fat,high,90,675,0.5766659782161061,0.05179590993708616,0.57762506854042,0.6920629986117867,0.0,0.922962962962963,high
inflamed,high-fat,high,180,675,0.6113146400779217,0.05620078582984927,0.6124997803452761,0.7364856607608374,0.0,0.9748148148148148,high
inflamed,high-fat,high,365,675,0.6797618014619322,0.06525951439435929,0.6816088600289428,0.8250219217837335,0.16148148148148148,1.0,high
barrier-impaired,normal,low,30,675,0.4029093528424545,0.029810661022871696,0.4044454400602494,0.4694253083452918,0.0,0.0,moderate
barrier-impaired,normal,low,90,675,0.40990846753354754,0.030204946131518674,0.4113424775579845,0.4773089201990858,0.0,0.0,moderate
barrier-impaired,normal,low,180,675,0.4165263104389691,0.030712517913007113,0.4178538669261974,0.4850921787650796,0.0,0.0,moderate
barrier-impaired,normal,low,365,675,0.4274114055248337,0.03175844447607552,0.4288126577206783,0.4983778041150682,0.0,0.0,moderate
barrier-impaired,normal,medium,30,675,0.48612351058836134,0.03884005056483394,0.4874829784270049,0.572866088845705,0.0,0.37037037037037035,moderate
barrier-impaired,normal,medium,90,675,0.5056435080579883,0.041051806191860434,0.5069222683957356,0.5976305153318014,0.0,0.5748148148148148,high
barrier-impaired,normal,medium,180,675,0.5281773407491064,0.04361774344666148,0.5294003690974658,0.6259725636042688,0.0,0.7362962962962963,high
barrier-impaired,normal,medium,365,675,0.5717426970407975,0.04890958764359988,0.572985596050441,0.6814853439800262,0.0,0.92,high
barrier-impaired,normal,high,30,675,0.590167895734836,0.04988736218954534,0.5919377530584835,0.6944540033471978,0.0,0.9614814814814815,high
barrier-impaired,normal,high,90,675,0.6248614984082738,0.05375964323970872,0.626609109414502,0.7326006279995608,0.0,0.9925925925925926,high
barrier-impaired,normal,high,180,675,0.6671827332343236,0.05891227626200661,0.668904117278665,0.7866779112352253,0.09037037037037036,1.0,high
barrier-impaired,normal,high,365,675,0.7473285114292907,0.06406280235272876,0.7524134641021728,0.8609165535850641,0.5185185185185185,1.0,high
barrier-impaired,high-fat,low,30,675,0.41552683144593083,0.029864713697717912,0.4170613832945166,0.4821857124075913,0.0,0.0,moderate
barrier-impaired,high-fat,low,90,675,0.42264480221648504,0.030282559327464334,0.4242659022211882,0.4901949924421057,0.0,0.0,moderate
barrier-impaired,high-fat,low,180,675,0.4294305293391583,0.030808132393227588,0.4312181795024334,0.4981739699136852,0.0,0.0,moderate
barrier-impaired,high-fat,low,365,675,0.44066471658844697,0.031888771501663776,0.442317449694925,0.5118665307307451,0.0,0.01925925925925926,moderate
barrier-impaired,high-fat,medium,30,675,0.5026871599700977,0.03926189161662927,0.5036956793401175,0.5901871400347826,0.0,0.5377777777777778,high
barrier-impaired,high-fat,medium,90,675,0.5227897746508282,0.041548299876231286,0.5239744168596263,0.6156300578093205,0.0,0.7051851851851851,high
barrier-impaired,high-fat,medium,180,675,0.5461621139089694,0.04419844983814422,0.5472282881069944,0.6449544832455035,0.0,0.8385185185185186,high
